                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.40347,                0.38628,                0.55107,                0.88471,                0.94095,                0.86945,                  0.962,                0.85933,                0.94095,                0.86945,                  0.962,                0.75005,                0.60832,                 1.4315,                0.92556,                 1.0942,              0.0012841,              0.0012841,              0.0012841
                     60,                0.38504,                0.38173,                0.57887,                0.86606,                0.97867,                0.86839,                0.95864,                0.83279,                0.97867,                0.86839,                0.95864,                0.78301,                0.58355,                 1.3319,                0.96023,                 1.0886,              0.0012775,              0.0012775,              0.0012775
                     61,                0.38961,                0.32281,                0.53442,                0.87059,                0.93113,                0.94444,                0.94157,                0.82567,                0.93113,                0.94444,                0.94157,                0.73826,                0.51058,                 1.3178,                0.93912,                 1.0205,              0.0012709,              0.0012709,              0.0012709
                     62,                0.35243,                0.33954,                0.52055,                0.86686,                0.78187,                0.94444,                 0.9265,                0.82393,                0.78187,                0.94444,                 0.9265,                0.74287,                0.44414,                 1.4112,                 0.8827,                0.95121,              0.0012643,              0.0012643,              0.0012643
                     63,                0.41008,                0.40774,                0.57845,                0.91754,                 0.8164,                0.94444,                 0.9345,                0.86981,                 0.8164,                0.94444,                 0.9345,                0.82859,                0.38902,                 1.0901,                0.77806,                0.91952,              0.0012577,              0.0012577,              0.0012577
                     64,                0.37446,                0.35567,                0.56018,                0.88453,                0.83608,                0.98103,                0.91725,                0.82663,                0.83608,                0.98103,                0.91725,                0.80243,                0.41742,                 1.0693,                 0.8467,                0.92699,              0.0012511,              0.0012511,              0.0012511
                     65,                0.39221,                0.50286,                 0.5295,                0.85893,                0.83538,                0.99694,                0.91393,                0.83541,                0.83538,                0.99694,                0.91393,                0.79383,                0.42016,                0.94089,                0.85976,                0.93332,              0.0012445,              0.0012445,              0.0012445
                     66,                0.37842,                 0.5587,                0.72878,                0.89437,                0.77479,                      1,                0.94153,                0.85473,                0.77479,                      1,                0.94153,                0.80537,                0.42431,                0.82736,                0.81147,                0.93951,              0.0012379,              0.0012379,              0.0012379
                     67,                0.38676,                0.37906,                0.53592,                0.88146,                0.89706,                      1,                  0.962,                0.86536,                0.89706,                      1,                  0.962,                0.80226,                0.46247,                 0.7839,                0.75298,                0.97325,              0.0012313,              0.0012313,              0.0012313
                     68,                0.37319,                0.41667,                 0.5248,                0.87778,                0.89987,                      1,                 0.9785,                0.82689,                0.89987,                      1,                 0.9785,                0.81164,                0.44288,                0.79992,                0.75066,                0.98057,              0.0012247,              0.0012247,              0.0012247
                     69,                0.40062,                 0.4279,                0.52255,                0.89024,                 0.9365,                0.98721,                  0.995,                0.85274,                 0.9365,                0.98721,                  0.995,                0.84326,                0.49128,                 0.8003,                0.78138,                0.98353,              0.0012181,              0.0012181,              0.0012181
                     70,                 0.3842,                0.39929,                0.56251,                0.86526,                0.96424,                      1,                  0.995,                0.86877,                0.96424,                      1,                  0.995,                0.84229,                0.48774,                0.72661,                0.80447,                0.96594,              0.0012115,              0.0012115,              0.0012115
                     71,                0.36524,                 0.3723,                0.51526,                0.87471,                0.98399,                0.94444,                 0.9895,                0.88063,                0.98399,                0.94444,                 0.9895,                0.86337,                0.46068,                0.70994,                0.78056,                0.96235,              0.0012049,              0.0012049,              0.0012049
                     72,                 0.3442,                0.33169,                0.46721,                 0.8578,                0.91796,                0.94444,                 0.9785,                0.84994,                0.91796,                0.94444,                 0.9785,                0.86004,                 0.4985,                0.75339,                0.74048,                0.95941,              0.0011983,              0.0011983,              0.0011983
                     73,                0.38626,                0.37239,                0.58972,                0.87724,                0.96843,                0.94444,                 0.9895,                0.84947,                0.96843,                0.94444,                 0.9895,                0.85575,                0.55175,                0.89182,                 0.7131,                0.96627,              0.0011917,              0.0011917,              0.0011917
                     74,                0.37722,                0.50094,                0.50658,                0.86893,                0.94202,                0.94444,                 0.9895,                0.83325,                0.94202,                0.94444,                 0.9895,                 0.8377,                0.51683,                0.93847,                0.71459,                0.95365,              0.0011851,              0.0011851,              0.0011851
                     75,                0.34738,                0.30783,                0.46202,                0.87404,                0.92527,                0.93349,                 0.9895,                0.86577,                0.92527,                0.93349,                 0.9895,                0.84909,                0.52572,                 0.9249,                0.71382,                 1.0086,              0.0011785,              0.0011785,              0.0011785
                     76,                 0.3675,                0.40519,                0.51783,                0.89769,                0.91043,                0.94444,                0.97575,                0.87793,                0.91043,                0.94444,                0.97575,                0.86268,                0.45677,                0.81842,                0.72028,                0.97917,              0.0011719,              0.0011719,              0.0011719
                     77,                0.34716,                0.35252,                0.47113,                 0.8591,                 0.9109,                0.94444,                0.97258,                0.87983,                 0.9109,                0.94444,                0.97258,                0.86721,                0.48715,                0.80518,                0.73327,                0.99504,              0.0011653,              0.0011653,              0.0011653
                     78,                0.37199,                0.35795,                0.51028,                0.89593,                0.92565,                0.94444,                0.96708,                0.87785,                0.92565,                0.94444,                0.96708,                 0.8465,                 0.5122,                0.79466,                 0.7039,                0.99768,              0.0011587,              0.0011587,              0.0011587
                     79,                0.39435,                0.35498,                0.47163,                0.87352,                0.91702,                0.92345,                 0.9795,                0.87476,                0.91702,                0.92345,                 0.9795,                0.85726,                0.49415,                0.70291,                0.69297,                0.98907,              0.0011521,              0.0011521,              0.0011521
                     80,                0.35326,                0.34876,                0.43059,                0.85729,                0.85316,                0.99801,                  0.974,                0.86517,                0.85316,                0.99801,                  0.974,                0.86056,                0.45263,                0.74668,                0.71768,                0.98105,              0.0011455,              0.0011455,              0.0011455
                     81,                0.34948,                0.28771,                0.43491,                 0.8611,                0.93756,                0.97338,                 0.9895,                0.89808,                0.93756,                0.97338,                 0.9895,                0.84395,                0.44303,                0.84797,                0.72458,                0.99467,              0.0011389,              0.0011389,              0.0011389
                     82,                0.31572,                0.31276,                0.45702,                0.84642,                0.99435,                 0.9665,                  0.995,                0.90434,                0.99435,                 0.9665,                  0.995,                0.82778,                0.44484,                0.92804,                 0.6906,                 1.0107,              0.0011323,              0.0011323,              0.0011323
                     83,                0.38753,                0.39389,                0.49395,                0.85821,                0.99212,                0.99643,                  0.995,                0.90335,                0.99212,                0.99643,                  0.995,                0.81032,                0.45641,                0.98832,                 0.6271,                0.99781,              0.0011257,              0.0011257,              0.0011257
                     84,                0.31957,                0.29718,                0.42926,                0.86844,                 0.9302,                      1,                  0.995,                 0.9082,                 0.9302,                      1,                  0.995,                0.83462,                 0.4812,                0.87885,                0.64942,                0.98103,              0.0011191,              0.0011191,              0.0011191
                     85,                0.33175,                0.28267,                  0.454,                0.86118,                0.86567,                      1,                  0.973,                  0.916,                0.86567,                      1,                  0.973,                0.82537,                0.41408,                0.88798,                 0.6321,                0.93218,              0.0011125,              0.0011125,              0.0011125
                     86,                0.35876,                0.35115,                0.46027,                0.86431,                0.82161,                      1,                 0.9565,                0.87948,                0.82161,                      1,                 0.9565,                0.80294,                0.37368,                0.94761,                  0.733,                0.90555,              0.0011059,              0.0011059,              0.0011059
                     87,                0.36201,                0.33604,                0.46542,                0.88419,                0.78736,                      1,                 0.9675,                0.90242,                0.78736,                      1,                 0.9675,                0.82254,                0.35398,                0.91938,                0.79091,                0.88509,              0.0010993,              0.0010993,              0.0010993
                     88,                0.40618,                0.31876,                 0.5044,                0.92851,                0.76448,                      1,                0.95056,                 0.8596,                0.76448,                      1,                0.95056,                0.83787,                0.36732,                0.91458,                0.80897,                0.89509,              0.0010927,              0.0010927,              0.0010927
                     89,                0.35319,                0.34425,                0.49719,                0.86931,                0.74844,                0.94444,                0.88551,                0.77551,                0.74844,                0.94444,                0.88551,                0.74052,                0.42069,                 1.0764,                0.90354,                 0.9296,              0.0010861,              0.0010861,              0.0010861
                     90,                0.37299,                0.33815,                0.48738,                  0.869,                0.75855,                      1,                0.91289,                0.80319,                0.75855,                      1,                0.91289,                 0.7902,                0.46614,                 1.2148,                0.87985,                0.95574,              0.0010795,              0.0010795,              0.0010795
                     91,                0.34074,                0.30449,                0.45973,                0.87893,                  0.767,                      1,                0.91663,                0.79786,                  0.767,                      1,                0.91663,                0.79153,                0.47025,                 1.1211,                0.80212,                0.97857,              0.0010729,              0.0010729,              0.0010729
                     92,                 0.4041,                0.39193,                0.48756,                 0.8905,                0.81681,                      1,                0.91943,                0.81208,                0.81681,                      1,                0.91943,                0.79173,                 0.4389,                 1.0267,                 0.7484,                0.96072,              0.0010663,              0.0010663,              0.0010663
                     93,                0.32834,                0.29411,                0.42103,                0.83294,                0.80947,                0.88889,                0.91654,                0.80618,                0.80947,                0.88889,                0.91654,                0.76261,                0.48449,                 1.0804,                0.77446,                0.97238,              0.0010597,              0.0010597,              0.0010597
                     94,                0.36066,                0.32108,                0.47317,                0.90644,                0.80905,                0.88889,                0.89794,                0.80122,                0.80905,                0.88889,                0.89794,                0.74374,                0.50309,                 1.0068,                0.77203,                 0.9929,              0.0010531,              0.0010531,              0.0010531
                     95,                0.33916,                0.33001,                0.43513,                0.88495,                0.75553,                0.99276,                0.92686,                0.81273,                0.75553,                0.99276,                0.92686,                0.78747,                0.45035,                0.93595,                0.76945,                0.94413,              0.0010465,              0.0010465,              0.0010465
                     96,                0.31871,                0.26734,                0.42573,                0.84992,                0.89801,                0.83333,                0.94465,                0.84784,                0.89801,                0.83333,                0.94465,                0.80029,                0.42236,                0.96566,                0.75139,                0.92366,              0.0010399,              0.0010399,              0.0010399
                     97,                0.34055,                0.30656,                0.44323,                 0.8585,                0.92957,                0.93929,                0.94786,                0.86547,                0.92957,                0.93929,                0.94786,                0.77381,                0.42416,                 1.0449,                0.67435,                0.94662,              0.0010333,              0.0010333,              0.0010333
                     98,                0.35503,                0.34088,                0.44431,                0.88823,                0.86213,                0.94444,                0.92014,                0.85054,                0.86213,                0.94444,                0.92014,                0.79002,                0.40585,                 1.0982,                0.64317,                 0.9426,              0.0010267,              0.0010267,              0.0010267
                     99,                0.34516,                0.32394,                0.44538,                0.86679,                0.87689,                0.94444,                0.95994,                0.87557,                0.87689,                0.94444,                0.93454,                0.79652,                0.41583,                 1.2515,                0.64836,                0.96016,              0.0010201,              0.0010201,              0.0010201
                    100,                0.32133,                0.29715,                0.46033,                0.85499,                0.88739,                0.94444,                0.95369,                0.86056,                0.96026,                0.93071,                 0.9598,                0.81375,                0.46592,                 1.2016,                0.71381,                0.97667,              0.0010135,              0.0010135,              0.0010135
                    101,                0.33914,                0.30175,                 0.4549,                0.85985,                0.93926,                0.88889,                0.95639,                0.87244,                0.93395,                0.94444,                 0.9625,                0.81623,                0.43648,                 1.3302,                0.71318,                0.96224,              0.0010069,              0.0010069,              0.0010069
                    102,                0.32894,                 0.2934,                0.42776,                0.85115,                0.93684,                0.87601,                0.93812,                0.84077,                0.92323,                0.94444,                0.94423,                0.81923,                0.44616,                 1.2763,                0.73463,                0.97916,              0.0010003,              0.0010003,              0.0010003
                    103,                0.35307,                0.34953,                0.43426,                0.85419,                0.92827,                0.93381,                0.94669,                  0.854,                0.92827,                0.93381,                0.94669,                0.82261,                0.43414,                 1.1799,                0.66265,                0.96776,             0.00099367,             0.00099367,             0.00099367
                    104,                 0.3649,                0.30301,                0.47444,                0.85632,                0.92969,                0.93547,                 0.9685,                0.84923,                0.92969,                0.93547,                0.92552,                0.80249,                0.45023,                 1.1964,                0.65093,                 0.9694,             0.00098706,             0.00098706,             0.00098706
                    105,                0.33729,                0.31701,                0.43755,                0.86814,                0.93707,                0.94022,                 0.9378,                0.82371,                0.93707,                0.94022,                0.91987,                0.79356,                0.46908,                  1.388,                0.67266,                0.97675,             0.00098046,             0.00098046,             0.00098046
                    106,                0.33144,                0.28416,                0.44721,                0.86255,                0.87554,                0.94444,                0.90539,                0.82377,                0.87554,                0.94444,                0.90539,                0.76484,                0.41599,                   1.57,                0.68231,                0.93043,             0.00097386,             0.00097386,             0.00097386
